total_syn,req_size,req_type,topo_size,increment_type
0.8551939,2,simple,mid,TRUE
1.7989103,2,order,mid,FALSE
1.1391814,2,order,mid,TRUE
1.8387203,4,simple,mid,FALSE
1.7748199,4,simple,mid,TRUE
2.3807782,4,order,mid,FALSE
2.3474725,4,order,mid,TRUE
3.4152117,8,simple,mid,FALSE
3.3457177,8,simple,mid,TRUE
4.6066505,8,order,mid,FALSE
4.5653126,8,order,mid,TRUE
7.5397258,16,simple,mid,FALSE
7.4702132,16,simple,mid,TRUE
14.3779996,16,order,mid,FALSE
9.0659433,16,order,mid,TRUE
2.2541884,2,simple,large,FALSE
2.2605597,2,simple,large,TRUE
5.8258275,2,order,large,FALSE
6.3099929,2,order,large,TRUE
5.3289784,4,simple,large,FALSE
5.3932873,4,simple,large,TRUE
11.3205853,4,order,large,FALSE
11.175765,4,order,large,TRUE
10.2986132,8,simple,large,FALSE
10.3530581,8,simple,large,TRUE
15.8751828,8,order,large,FALSE
15.5938975,8,order,large,TRUE
19.6202352,16,simple,large,FALSE
19.0026437,16,simple,large,TRUE
43.8421582,16,order,large,FALSE
44.3879185,16,order,large,TRUE
1.9908195,2,simple,large,FALSE
1.9656041,2,simple,large,TRUE
4.2171348,2,order,large,FALSE
4.1781756,2,order,large,TRUE
4.0276351,4,simple,large,FALSE
4.0265701,4,simple,large,TRUE
5.460307,4,order,large,FALSE
5.3439127,4,order,large,TRUE
8.518372,8,simple,large,FALSE
8.3734267,8,simple,large,TRUE
10.6781064,8,order,large,FALSE
10.6653139,8,order,large,TRUE
16.3000238,16,simple,large,FALSE
16.1139495,16,simple,large,TRUE
35.3456813,16,order,large,FALSE
21.4051569,16,order,large,TRUE
1.826735,2,simple,large,FALSE
1.737226,2,simple,large,TRUE
2.9098895,2,order,large,FALSE
2.8866098,2,order,large,TRUE
3.2876612,4,simple,large,FALSE
3.0962954,4,simple,large,TRUE
15.678234,4,order,large,FALSE
10.7242775,4,order,large,TRUE
7.0605688,8,simple,large,FALSE
6.7094248,8,simple,large,TRUE
16.1971485,8,order,large,FALSE
11.5372588,8,order,large,TRUE
15.7920283,16,simple,large,FALSE
15.598597,16,simple,large,TRUE
55.8016702,16,order,large,FALSE
32.8019157,16,order,large,TRUE
1.7660741,2,simple,large,FALSE
1.7710578,2,simple,large,TRUE
2.8537176,2,order,large,FALSE
2.7875231,2,order,large,TRUE
3.8544856,4,simple,large,FALSE
3.7829447,4,simple,large,TRUE
5.5706245,4,order,large,FALSE
5.6423529,4,order,large,TRUE
7.5057374,8,simple,large,FALSE
7.4358313,8,simple,large,TRUE
11.1824917,8,order,large,FALSE
11.1214776,8,order,large,TRUE
14.0489728,16,simple,large,FALSE
13.9230075,16,simple,large,TRUE
29.6879576,16,order,large,FALSE
21.841013,16,order,large,TRUE
0.5355464,2,simple,small,FALSE
0.5256614,2,simple,small,TRUE
0.5588681,2,order,small,FALSE
0.5306116,2,order,small,TRUE
0.9931866,4,simple,small,FALSE
0.978505,4,simple,small,TRUE
1.1057979,4,order,small,FALSE
1.0812634,4,order,small,TRUE
1.9746349,8,simple,small,FALSE
1.9275699,8,simple,small,TRUE
2.1993146,8,order,small,FALSE
2.6320009,8,order,small,TRUE
4.0465377,16,simple,small,FALSE
3.9048132,16,simple,small,TRUE
4.4269167,16,order,small,FALSE
4.3534114,16,order,small,TRUE
0.5389411,2,simple,small,FALSE
0.5074595,2,simple,small,TRUE
0.5714196,2,order,small,FALSE
0.5641736,2,order,small,TRUE
1.0286877,4,simple,small,FALSE
1.0447017,4,simple,small,TRUE
1.5129474,4,order,small,FALSE
1.4638097,4,order,small,TRUE
